epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,22398.3,1.00832,1.90922,1.13967,1.17237,0,0,0,0,0,0,0,0,0,0,86.5183,0,0.001604,0.001604,0.001604
22,23429.1,1.01186,1.89423,1.16576,1.17355,0,0,0,0,0,0,0,0,0,0,83.2158,0,0.0015842,0.0015842,0.0015842
23,24460.7,1.01096,1.92962,1.11595,1.18019,0,0,0,0,0,0,0,0,0,0,92.9773,0,0.0015644,0.0015644,0.0015644
24,25490.9,1.00091,1.90145,1.11678,1.17256,0,0,0,0,0,0,0,0,0,0,104.508,0,0.0015446,0.0015446,0.0015446
25,26521.7,0.98132,1.84406,1.07804,1.15935,0,0,0,0,0,0,0,0,0,0,93.3867,0,0.0015248,0.0015248,0.0015248
26,27552.4,0.98494,1.84039,1.08376,1.15341,0,0,0,0,0,0,0,0,0,0,108.038,0,0.001505,0.001505,0.001505
27,28580.3,0.99791,1.84846,1.10883,1.16437,0,0,0,0,0,0,0,0,0,0,95.3177,0,0.0014852,0.0014852,0.0014852
28,29606.7,0.96006,1.77261,1.05462,1.14348,0,0,0,0,0,0,0,0,0,0,84.9437,0,0.0014654,0.0014654,0.0014654
29,30630.6,0.95968,1.83213,1.07083,1.14616,0,0,0,0,0,0,0,0,0,0,93.0349,0,0.0014456,0.0014456,0.0014456
30,31654.2,0.94754,1.78641,1.03298,1.13112,0,0,0,0,0,0,0,0,0,0,93.2623,0,0.0014258,0.0014258,0.0014258
31,32679.9,0.93975,1.7686,1.00893,1.13406,0,0,0,0,0,0,0,0,0,0,88.9022,0,0.001406,0.001406,0.001406
32,33704.6,0.95208,1.81384,1.03696,1.14451,0,0,0,0,0,0,0,0,0,0,78.2586,0,0.0013862,0.0013862,0.0013862
33,34741.9,0.93245,1.73764,1.03128,1.12539,0,0,0,0,0,0,0,0,0,0,91.2141,0,0.0013664,0.0013664,0.0013664
34,35966.1,0.93124,1.76023,1.01595,1.13238,0,0,0,0,0,0,0,0,0,0,100.435,0,0.0013466,0.0013466,0.0013466
35,37185.6,0.91236,1.73544,0.99573,1.11401,0,0,0,0,0,0,0,0,0,0,91.4838,0,0.0013268,0.0013268,0.0013268
36,38398.7,0.90315,1.70307,0.98155,1.11459,0,0,0,0,0,0,0,0,0,0,97.0541,0,0.001307,0.001307,0.001307
37,39614.4,0.91694,1.67938,0.99638,1.11865,0,0,0,0,0,0,0,0,0,0,91.8322,0,0.0012872,0.0012872,0.0012872
38,40844,0.89829,1.69515,0.97576,1.10839,0,0,0,0,0,0,0,0,0,0,98.3065,0,0.0012674,0.0012674,0.0012674
39,42063.7,0.89237,1.69155,0.96381,1.09838,0,0,0,0,0,0,0,0,0,0,89.1753,0,0.0012476,0.0012476,0.0012476
40,43278.2,0.90674,1.67806,0.97895,1.10233,0,0,0,0,0,0,0,0,0,0,92.7737,0,0.0012278,0.0012278,0.0012278
41,44492.4,0.89041,1.69008,0.96391,1.10396,0,0,0,0,0,0,0,0,0,0,96.9096,0,0.001208,0.001208,0.001208
42,45705.8,0.89543,1.68549,0.9372,1.09925,0,0,0,0,0,0,0,0,0,0,105.316,0,0.0011882,0.0011882,0.0011882
43,46914.8,0.90185,1.68805,0.97018,1.10878,0,0,0,0,0,0,0,0,0,0,102.884,0,0.0011684,0.0011684,0.0011684
44,47995.8,0.89062,1.67912,0.97439,1.10217,0,0,0,0,0,0,0,0,0,0,95.6761,0,0.0011486,0.0011486,0.0011486
45,49009.7,0.87546,1.6435,0.94328,1.08926,0,0,0,0,0,0,0,0,0,0,113.532,0,0.0011288,0.0011288,0.0011288
46,50024.5,0.85857,1.59897,0.9378,1.08274,0,0,0,0,0,0,0,0,0,0,100.177,0,0.001109,0.001109,0.001109
47,51039.5,0.8733,1.61367,0.9088,1.08864,0,0,0,0,0,0,0,0,0,0,100.018,0,0.0010892,0.0010892,0.0010892
48,52053.3,0.87006,1.62523,0.92662,1.09833,0,0,0,0,0,0,0,0,0,0,101.812,0,0.0010694,0.0010694,0.0010694
49,53071.6,0.86022,1.65212,0.93124,1.08873,0,0,0,0,0,0,0,0,0,0,114.582,0,0.0010496,0.0010496,0.0010496
50,54087.6,0.84605,1.57825,0.90394,1.08046,0,0,0,0,0,0,0,0,0,0,105.432,0,0.0010298,0.0010298,0.0010298
51,55103.1,0.85165,1.60494,0.89358,1.07931,0,0,0,0,0,0,0,0,0,0,105.891,0,0.00101,0.00101,0.00101
52,56118.9,0.83382,1.575,0.87915,1.06842,0,0,0,0,0,0,0,0,0,0,107.703,0,0.0009902,0.0009902,0.0009902
53,57132.7,0.84317,1.5697,0.8752,1.06582,0,0,0,0,0,0,0,0,0,0,114.632,0,0.0009704,0.0009704,0.0009704
54,58151,0.8296,1.5595,0.86362,1.07198,0,0,0,0,0,0,0,0,0,0,113.192,0,0.0009506,0.0009506,0.0009506
55,59168,0.83758,1.57522,0.86745,1.05854,0,0,0,0,0,0,0,0,0,0,112.066,0,0.0009308,0.0009308,0.0009308
56,60183.3,0.83832,1.56281,0.85849,1.07662,0,0,0,0,0,0,0,0,0,0,116.521,0,0.000911,0.000911,0.000911
57,61200.5,0.83588,1.5656,0.87876,1.07213,0,0,0,0,0,0,0,0,0,0,112.017,0,0.0008912,0.0008912,0.0008912
58,62220.1,0.8237,1.50567,0.8476,1.05587,0,0,0,0,0,0,0,0,0,0,111.689,0,0.0008714,0.0008714,0.0008714
59,63238.6,0.82695,1.51046,0.83755,1.05238,0,0,0,0,0,0,0,0,0,0,113.113,0,0.0008516,0.0008516,0.0008516
60,64253.1,0.82,1.51929,0.82405,1.052,0,0,0,0,0,0,0,0,0,0,107.274,0,0.0008318,0.0008318,0.0008318
61,65268.4,0.80572,1.50211,0.83452,1.05218,0,0,0,0,0,0,0,0,0,0,109.726,0,0.000812,0.000812,0.000812
62,66283.2,0.80121,1.47891,0.82406,1.04848,0,0,0,0,0,0,0,0,0,0,109.99,0,0.0007922,0.0007922,0.0007922
63,67296.8,0.79335,1.48948,0.80679,1.03978,0,0,0,0,0,0,0,0,0,0,104.624,0,0.0007724,0.0007724,0.0007724
64,68312.2,0.79469,1.46891,0.80556,1.0484,0,0,0,0,0,0,0,0,0,0,114.529,0,0.0007526,0.0007526,0.0007526
65,69328.9,0.78439,1.46522,0.80617,1.03872,0,0,0,0,0,0,0,0,0,0,120.091,0,0.0007328,0.0007328,0.0007328
66,70345.6,0.78518,1.45144,0.78999,1.03665,0,0,0,0,0,0,0,0,0,0,126.568,0,0.000713,0.000713,0.000713
67,71364.8,0.78113,1.45308,0.7928,1.03528,0,0,0,0,0,0,0,0,0,0,115.408,0,0.0006932,0.0006932,0.0006932
68,72382.1,0.7866,1.44187,0.78934,1.0398,0,0,0,0,0,0,0,0,0,0,109.941,0,0.0006734,0.0006734,0.0006734
69,73402.4,0.78061,1.4431,0.792,1.04093,0,0,0,0,0,0,0,0,0,0,114.833,0,0.0006536,0.0006536,0.0006536
70,74575.7,0.76737,1.43753,0.76972,1.02363,0,0,0,0,0,0,0,0,0,0,114.325,0,0.0006338,0.0006338,0.0006338
71,75791.7,0.77885,1.42515,0.78107,1.03727,0,0,0,0,0,0,0,0,0,0,114.434,0,0.000614,0.000614,0.000614
72,77332.2,0.75864,1.4158,0.76208,1.02082,0,0,0,0,0,0,0,0,0,0,117.077,0,0.0005942,0.0005942,0.0005942
73,78334,0.77472,1.41966,0.76936,1.02856,0,0,0,0,0,0,0,0,0,0,114.729,0,0.0005744,0.0005744,0.0005744
74,79331.4,0.75039,1.4093,0.76135,1.01508,0,0,0,0,0,0,0,0,0,0,117.895,0,0.0005546,0.0005546,0.0005546
75,80334.9,0.76173,1.42547,0.75784,1.02009,0,0,0,0,0,0,0,0,0,0,119.246,0,0.0005348,0.0005348,0.0005348
76,81340.1,0.7593,1.40786,0.76098,1.01836,0,0,0,0,0,0,0,0,0,0,119.18,0,0.000515,0.000515,0.000515
77,82573.4,0.74947,1.39047,0.7382,1.01245,0,0,0,0,0,0,0,0,0,0,115.415,0,0.0004952,0.0004952,0.0004952
78,83834,0.7469,1.38455,0.73452,1.01215,0,0,0,0,0,0,0,0,0,0,123.87,0,0.0004754,0.0004754,0.0004754
79,85111.3,0.76492,1.41199,0.73211,1.01732,0,0,0,0,0,0,0,0,0,0,123.956,0,0.0004556,0.0004556,0.0004556
80,86380.3,0.73759,1.3686,0.70383,1.00038,0,0,0,0,0,0,0,0,0,0,129.816,0,0.0004358,0.0004358,0.0004358
81,87875.5,0.74194,1.35972,0.70702,1.00874,0,0,0,0,0,0,0,0,0,0,122.676,0,0.000416,0.000416,0.000416
82,89227.4,0.74319,1.35091,0.72094,1.01511,0,0,0,0,0,0,0,0,0,0,120.903,0,0.0003962,0.0003962,0.0003962
83,90446.6,0.72869,1.35691,0.71393,1.01134,0,0,0,0,0,0,0,0,0,0,128.641,0,0.0003764,0.0003764,0.0003764
84,91658.1,0.71041,1.32608,0.67105,0.99744,0,0,0,0,0,0,0,0,0,0,127.76,0,0.0003566,0.0003566,0.0003566
85,92867.5,0.73141,1.3369,0.69451,1.00949,0,0,0,0,0,0,0,0,0,0,126.227,0,0.0003368,0.0003368,0.0003368
86,94074,0.72792,1.34088,0.69446,1.00855,0,0,0,0,0,0,0,0,0,0,128.005,0,0.000317,0.000317,0.000317
87,95296.2,0.72626,1.33595,0.68717,0.99781,0,0,0,0,0,0,0,0,0,0,130.623,0,0.0002972,0.0002972,0.0002972
88,96500.9,0.71147,1.31888,0.67979,0.99476,0,0,0,0,0,0,0,0,0,0,130.188,0,0.0002774,0.0002774,0.0002774
89,97704.7,0.71062,1.34369,0.65401,0.99391,0,0,0,0,0,0,0,0,0,0,131.987,0,0.0002576,0.0002576,0.0002576
90,98908.8,0.7157,1.33394,0.68478,0.99579,0,0,0,0,0,0,0,0,0,0,129.053,0,0.0002378,0.0002378,0.0002378
91,100090,0.6776,1.25115,0.61463,0.97472,0,0,0,0,0,0,0,0,0,0,124.94,0,0.000218,0.000218,0.000218
92,101268,0.67908,1.23056,0.57188,0.98065,0,0,0,0,0,0,0,0,0,0,123.63,0,0.0001982,0.0001982,0.0001982
93,102447,0.66365,1.22338,0.56989,0.96918,0,0,0,0,0,0,0,0,0,0,123.981,0,0.0001784,0.0001784,0.0001784
94,103623,0.65852,1.21716,0.54205,0.96356,0,0,0,0,0,0,0,0,0,0,130.513,0,0.0001586,0.0001586,0.0001586
95,104796,0.67266,1.21641,0.53854,0.97072,0,0,0,0,0,0,0,0,0,0,129.31,0,0.0001388,0.0001388,0.0001388
96,105971,0.65739,1.19236,0.54995,0.96015,0,0,0,0,0,0,0,0,0,0,129.243,0,0.000119,0.000119,0.000119
97,130237,0.65328,1.1943,0.53008,0.95944,0,0,0,0,0,0,0,0,0,0,126.92,0,9.92e-05,9.92e-05,9.92e-05
98,163676,0.63318,1.19273,0.50436,0.95116,0,0,0,0,0,0,0,0,0,0,128.911,0,7.94e-05,7.94e-05,7.94e-05
99,165218,0.65022,1.20281,0.5292,0.95422,0,0,0,0,0,0,0,0,0,0,131.254,0,5.96e-05,5.96e-05,5.96e-05
100,167144,0.65255,1.1887,0.52623,0.96534,0,0,0,0,0,0,0,0,0,0,132.342,0,3.98e-05,3.98e-05,3.98e-05
